Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final
car,13,0.8217,410,83,410,83
car,7,0.5683,276,83,275,83
car,8,0.5556,396,80,396,80
car,11,0.8036,377,76,378,76
car,14,0.9059,652,63,652,63
bicycle,25,0.5051,587,64,583,64
car,18,0.6285,699,71,698,72
car,20,0.8635,101,200,270,34
car,22,0.9498,98,336,873,117
car,23,0.9523,106,444,871,161
car,21,0.9285,104,244,332,34
car,27,0.9470,129,448,872,168
car,26,0.9208,101,248,371,48
car,30,0.9505,149,302,870,113
car,28,0.9353,113,251,372,52
car,31,0.9458,139,441,876,166
car,33,0.8918,139,322,872,120
car,36,0.9441,146,320,863,127
car,35,0.9444,140,431,869,165
car,29,0.9209,104,255,349,42
car,37,0.9516,144,300,872,116
car,32,0.9055,105,259,359,48
car,38,0.9544,130,430,853,163
person,19,0.6886,646,49,557,55
car,35,0.6625,862,152,871,153
car,34,0.9140,108,245,358,49
car,39,0.9159,150,315,875,119
car,41,0.9610,128,430,867,156
car,43,0.9317,186,307,870,121
car,47,0.6321,542,241,744,189
person,49,0.5176,502,56,502,56
car,46,0.8936,154,427,873,162
car,45,0.8118,124,304,873,112
car,48,0.9444,196,413,870,162
car,58,0.5419,747,54,747,54
bicycle,24,0.6667,584,65,368,77
car,50,0.5631,772,57,688,70
car,53,0.5094,739,59,695,60
car,60,0.5167,708,55,703,56
person,40,0.6229,557,58,278,75
car,57,0.9470,182,428,872,161
car,16,0.9338,622,66,99,128
car,59,0.9313,180,302,873,114
car,12,0.7741,689,72,100,148
person,63,0.6394,108,95,84,99
bicycle,24,0.6750,241,87,84,104
car,62,0.5726,776,64,695,68
car,9,0.7609,773,65,103,146
car,10,0.8593,727,53,94,120
car,65,0.9303,165,288,865,110
car,54,0.8262,764,53,91,126
car,64,0.8999,699,70,100,147
car,70,0.6493,871,67,858,69
car,61,0.8392,799,52,100,123
car,71,0.5458,847,41,847,41
car,69,0.8756,161,310,876,117
car,68,0.9051,770,64,106,147
car,72,0.9624,212,407,866,174
car,76,0.5895,93,50,89,55
car,75,0.5517,826,78,801,83
car,77,0.5856,763,86,751,81
car,73,0.6185,875,81,771,71
car,79,0.9138,737,62,102,144
car,81,0.5209,81,25,85,36
car,82,0.8788,760,62,101,148
car,75,0.6892,792,75,743,76
car,42,0.8073,86,28,80,75
car,84,0.9173,782,53,107,120
car,80,0.9065,786,94,856,458
car,78,0.6395,84,32,87,54
car,15,0.9040,728,81,771,496
car,91,0.9280,768,65,97,144
car,83,0.8938,879,81,861,461
car,86,0.9035,809,77,731,503
car,93,0.9197,764,56,106,122
car,88,0.5236,843,30,844,31
car,98,0.6052,330,23,322,22
car,100,0.7196,776,77,766,76
car,90,0.8180,788,44,295,21
car,92,0.8797,873,81,852,464
car,88,0.5787,844,30,828,41
car,99,0.9023,780,61,120,144
car,101,0.7729,781,53,614,62
car,96,0.9146,787,54,96,148
car,106,0.5049,823,47,823,47
car,102,0.9317,774,57,152,127
car,97,0.8738,874,77,863,145
car,105,0.9261,766,66,106,153
car,107,0.9249,792,48,90,119
car,109,0.5136,134,18,136,18
car,112,0.7114,783,63,773,63
car,108,0.8498,796,45,339,26
car,119,0.5232,829,44,807,37
car,117,0.9493,862,403,99,201
car,128,0.6545,871,199,868,198
car,85,0.7885,89,55,80,75
car,122,0.9530,851,399,93,206
bicycle,131,0.6939,769,192,701,156
car,87,0.7203,84,36,80,67
person,118,0.7884,868,212,356,30
