Class ID,ID,Confidence LV,x_initial,y_initial,x_final,y_final,cluster
car,27,0.9470,129,448,872,168,1
car,26,0.9208,101,248,371,48,2
car,30,0.9505,149,302,870,113,1
car,28,0.9353,113,251,372,52,2
car,31,0.9458,139,441,876,166,1
car,33,0.8918,139,322,872,120,1
car,36,0.9441,146,320,863,127,1
car,35,0.9444,140,431,869,165,1
car,29,0.9209,104,255,349,42,2
car,37,0.9516,144,300,872,116,1
car,32,0.9055,105,259,359,48,2
car,38,0.9544,130,430,853,163,1
person,19,0.6886,646,49,557,55,0
car,35,0.6625,862,152,871,153,0
car,34,0.9140,108,245,358,49,2
car,39,0.9159,150,315,875,119,1
car,41,0.9610,128,430,867,156,1
car,43,0.9317,186,307,870,121,1
car,47,0.6321,542,241,744,189,0
person,49,0.5176,502,56,502,56,4
car,46,0.8936,154,427,873,162,1
car,45,0.8118,124,304,873,112,1
car,48,0.9444,196,413,870,162,1
car,58,0.5419,747,54,747,54,0
bicycle,24,0.6667,584,65,368,77,4
car,50,0.5631,772,57,688,70,0
car,53,0.5094,739,59,695,60,0
car,60,0.5167,708,55,703,56,0
person,40,0.6229,557,58,278,75,4
car,57,0.9470,182,428,872,161,1
car,16,0.9338,622,66,99,128,3
car,59,0.9313,180,302,873,114,1
car,12,0.7741,689,72,100,148,3
person,63,0.6394,108,95,84,99,5
bicycle,24,0.6750,241,87,84,104,5
car,62,0.5726,776,64,695,68,0
car,9,0.7609,773,65,103,146,3
car,10,0.8593,727,53,94,120,3
car,65,0.9303,165,288,865,110,1
car,54,0.8262,764,53,91,126,3
car,64,0.8999,699,70,100,147,3
car,70,0.6493,871,67,858,69,0
car,61,0.8392,799,52,100,123,3
car,71,0.5458,847,41,847,41,0
car,69,0.8756,161,310,876,117,1
car,68,0.9051,770,64,106,147,3
car,72,0.9624,212,407,866,174,1
car,76,0.5895,93,50,89,55,5
car,75,0.5517,826,78,801,83,0
car,77,0.5856,763,86,751,81,0
car,73,0.6185,875,81,771,71,0
car,79,0.9138,737,62,102,144,3
car,81,0.5209,81,25,85,36,5
car,82,0.8788,760,62,101,148,3
car,75,0.6892,792,75,743,76,0
car,42,0.8073,86,28,80,75,5
car,84,0.9173,782,53,107,120,3
car,80,0.9065,786,94,856,458,6
car,78,0.6395,84,32,87,54,5
car,15,0.9040,728,81,771,496,6
car,91,0.9280,768,65,97,144,3
car,83,0.8938,879,81,861,461,6
car,86,0.9035,809,77,731,503,6
car,93,0.9197,764,56,106,122,3
car,88,0.5236,843,30,844,31,0
car,98,0.6052,330,23,322,22,4
car,100,0.7196,776,77,766,76,0
car,90,0.8180,788,44,295,21,3
car,92,0.8797,873,81,852,464,6
car,88,0.5787,844,30,828,41,0
car,99,0.9023,780,61,120,144,3
car,101,0.7729,781,53,614,62,0
car,96,0.9146,787,54,96,148,3
car,106,0.5049,823,47,823,47,0
car,102,0.9317,774,57,152,127,3
car,97,0.8738,874,77,863,145,0
car,105,0.9261,766,66,106,153,3
car,107,0.9249,792,48,90,119,3
car,109,0.5136,134,18,136,18,5
car,112,0.7114,783,63,773,63,0
car,108,0.8498,796,45,339,26,3
car,119,0.5232,829,44,807,37,0
car,117,0.9493,862,403,99,201,3
car,128,0.6545,871,199,868,198,0
car,85,0.7885,89,55,80,75,5
car,122,0.9530,851,399,93,206,3
bicycle,131,0.6939,769,192,701,156,0
car,87,0.7203,84,36,80,67,5
person,118,0.7884,868,212,356,30,3
car,123,0.9319,858,268,271,32,3
bicycle,131,0.5675,664,125,518,74,0
car,141,0.7004,217,21,208,18,5
car,135,0.5128,847,35,847,34,0
car,145,0.5088,866,67,867,67,0
car,133,0.9298,863,281,268,31,3
person,129,0.7629,838,188,360,29,3
car,89,0.8359,83,27,87,61,5
car,130,0.6670,775,63,777,61,0
car,138,0.9386,862,285,260,30,3
car,149,0.6204,89,67,82,75,5
car,150,0.8914,861,283,852,279,6
car,143,0.6655,88,37,80,66,5
car,152,0.5632,100,23,102,24,5
car,144,0.9343,858,272,272,34,3
car,154,0.6488,211,20,201,16,5
car,147,0.9438,852,280,260,31,3
person,125,0.7553,876,156,547,55,0
car,151,0.9494,828,269,255,30,3
car,55,0.9364,143,27,825,465,1
car,155,0.9268,850,246,338,28,3
car,146,0.8750,89,26,725,492,1
car,110,0.8950,146,22,834,462,1
car,126,0.6657,709,51,691,54,0
person,159,0.5506,475,42,432,34,4
